1,2,3,4,5,6,7,Target
11339.0,8403.0,12287.0,10030.0,9731.0,10060.0,13431.0,12113.42857142857
13245.0,10628.0,12994.0,10481.0,13830.0,10728.0,12888.0,11529.285714285714
11616.0,10310.0,12649.0,10872.0,11518.0,10349.0,13391.0,11427.57142857143
11339.0,12461.0,10770.0,12025.0,13274.0,8576.0,11548.0,11691.57142857143
12406.0,12729.0,14392.0,11771.0,9106.0,12236.0,9201.0,11531.57142857143
11053.0,11793.0,11457.0,12126.0,11164.0,11803.0,11325.0,12464.42857142857
11715.0,10535.0,13476.0,13888.0,12694.0,11878.0,13065.0,12127.142857142857
12580.0,11714.0,13377.0,8140.0,13302.0,13040.0,12737.0,11417.142857142857
11072.0,9690.0,12168.0,13210.0,11293.0,10976.0,11511.0,11338.714285714286
11767.0,11562.0,10793.0,13273.0,12750.0,10713.0,8513.0,10857.0
11514.0,13081.0,8291.0,10395.0,12766.0,10708.0,9244.0,11058.285714285714
10247.0,13471.0,14000.0,8237.0,9968.0,11494.0,9991.0,10929.285714285714
12704.0,9839.0,9036.0,12621.0,11488.0,10289.0,10528.0,11508.0
12594.0,11055.0,10770.0,12838.0,13027.0,10837.0,9435.0,10607.42857142857
11001.0,8608.0,10587.0,10201.0,9737.0,13828.0,10290.0,11743.57142857143
12877.0,10894.0,10147.0,11850.0,11460.0,10591.0,14386.0,11864.857142857143
12045.0,11051.0,13199.0,11199.0,12888.0,11577.0,11095.0,11800.285714285714
13540.0,14438.0,12480.0,12704.0,10699.0,9677.0,9064.0,12371.857142857143
12900.0,13448.0,13036.0,12177.0,12353.0,9836.0,12853.0,11665.142857142857
11658.0,11412.0,12329.0,9634.0,13927.0,10573.0,12123.0,11159.0
9550.0,12340.0,12611.0,11158.0,9564.0,12344.0,10546.0,10742.714285714286
13412.0,13708.0,10879.0,8794.0,9473.0,8477.0,10456.0,12281.0
12537.0,11028.0,11788.0,13171.0,11623.0,13465.0,12355.0,11314.57142857143
11972.0,11359.0,8809.0,12249.0,12124.0,9826.0,12863.0,11953.0
10201.0,10330.0,13604.0,12462.0,12641.0,13239.0,11194.0,11738.857142857143
12881.0,10223.0,10231.0,14295.0,13112.0,10010.0,11420.0,10052.57142857143
9188.0,12972.0,7297.0,9873.0,9807.0,7319.0,13912.0,11751.857142857143
10884.0,9555.0,14381.0,12946.0,11701.0,9749.0,13047.0,11642.42857142857
9406.0,13449.0,11862.0,13190.0,11193.0,10529.0,11868.0,10388.285714285714
10398.0,11001.0,10178.0,9498.0,11309.0,9185.0,11149.0,10679.714285714286
8839.0,9979.0,12125.0,12645.0,9895.0,8395.0,12880.0,11739.57142857143
11807.0,9693.0,10643.0,13988.0,10061.0,12624.0,13361.0,11690.714285714286
8998.0,11973.0,13035.0,10085.0,12188.0,13381.0,12175.0,11969.57142857143
11624.0,13101.0,13121.0,12089.0,10138.0,9955.0,13759.0,11222.857142857143
9679.0,10856.0,11295.0,11434.0,12457.0,11244.0,11595.0,11707.42857142857
10841.0,11265.0,10210.0,12367.0,11237.0,12732.0,13300.0,11728.57142857143
12217.0,13040.0,11374.0,8448.0,13216.0,13516.0,10289.0,11843.57142857143
11969.0,11358.0,10308.0,12981.0,11570.0,14005.0,10714.0,11625.57142857143
12980.0,12396.0,13175.0,11466.0,8826.0,11101.0,11435.0,11236.0
